shoe_name,goat_price,stockx_low_price,stockx_high_price,low_profit,high_profit
Colette x Air Jordan 1 Retro High OG 'Au Revoir',6888,-1,-1,0,0
Off-White x Blazer Mid 'Grim Reapers',530,-1,-1,0,0
Yeezy Boost 350 V2 'Beluga',736,-1,-1,0,0
Balenciaga Speed Trainer 'Black',702,-1,-1,0,0
Air Jordan 11 Retro GS 'Bred' 2019,210,-1,-1,0,0
Pharrell x NMD Human Race 'Light Grey Teal',300,-1,-1,0,0
KAWS x Air Jordan 4 Retro 'Cool Grey',2547,-1,-1,0,0
Aimé Leon Dore x 550 'Evergreen',350,-1,-1,0,0
Union LA x Chuck Taylor All Star High 'White',97,-1,-1,0,0
Zoom Kobe 5 Protro '5x Champ',199,-1,-1,0,0
Kamikaze 2 Mid Retro 'Sonics' 2020,148,-1,-1,0,0
Air Jordan 1 Low 'Smoke Grey',116,-1,-1,0,0
Wmns Air Jordan 1 Mid 'Digital Pink',368,-1,-1,0,0
Wmns Air Force 1 'Pixel White',139,-1,-1,0,0
Grateful Dead x Dunk Low SB 'Yellow Bear',980,-1,-1,0,0
Air Jordan 1 Retro High OG GS 'Smoke Grey',249,-1,-1,0,0
Air Jordan 4 Retro 'Motorsports',330,-1,-1,0,0
Air Jordan 3 Retro 'Court Purple',979,-1,-1,0,0
Yeezy Boost 700 V2 'Vanta',475,-1,-1,0,0
Wmns Air Jordan 1 Mid SE 'Multi Patent',145,-1,-1,0,0
Air Jordan 11 Retro 'Win Like '82',300,-1,-1,0,0
Wmns Air Jordan 1 Mid SE 'Iridescent Trim',248,-1,-1,0,0
Air Jordan 4 Retro LS 'Oreo' 2015,175,-1,-1,0,0
Air Jordan 1 Retro High OG Prm 'Yin Yang',85,-1,-1,0,0
Ruohan Wang x Air Max 90 Flyleather,109,-1,-1,0,0
Wmns Air Max 270,94,-1,-1,0,0
Air Jordan 1 Retro High OG 'Guava Ice',154,-1,-1,0,0
Air Jordan 12 Retro GS 'University Gold',115,-1,-1,0,0
Air Jordan 12 Retro 'FIBA',205,-1,-1,0,0
Sacai x VaporWaffle 'Sail',672,-1,-1,0,0
Gucci Ace 'Fake/Not Print',680,-1,-1,0,0
Off-White x Chuck 70 'White',490,-1,-1,0,0
Air Jordan 1 High Zoom 'Crater',159,-1,-1,0,0
Air Jordan 1 Retro High OG 'Clay Green',200,-1,-1,0,0
Yeezy Boost 700 V2 'Tephra',353,-1,-1,0,0
Off-White x Air Jordan 1 Retro High OG 'White'...,2498,-1,-1,0,0
Air Foamposite Pro 'Halloween',297,-1,-1,0,0
Air Jordan 3 Retro 'Knicks',100,-1,-1,0,0
